"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-10","0.00","90","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-11","0.00","74","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-12","0.00","77","57",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-13","0.00","85","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-14","0.00","88","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-15","0.00","89","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-16","0.00","78","59","60"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-17","0.00","77","42","50"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-18","0.00","78","43","46"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-19","0.00","81","46","61"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-20","0.00","83","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-21","0.00","79","67",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-22","0.00","88","72",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-23","0.13","80","46","51"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-24","0.00","82","49","59"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-25","0.00","77","38","46"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-26","0.00","80","42","44"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-27","0.00","84","44","58"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-28","0.00","65","35","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-29","0.00","64","30","32"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-30","0.00","75","32",
